state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"IL, Kendall",2,2.5,2.5,3.5,3.5,4.0,2.5,3.5,56.75,62.5,2.5,1.36,0.4,0.79,2.53,80.75,2,14,1.0,3,52890.1,0,3
"IL, Mason",2,3.0,3.0,3.5,3.0,5.0,1.5,2.0,58.1,14.3,1.0,1.56,1.02,0.57,3.1,102.6665,7,11,9.0,1,10724.15,0,1
"IL, Grundy",2,1.5,2.5,1.5,1.5,2.0,1.5,1.5,60.3,45.5,1.0,2.03,0.54,0.48,3.04,71.0,1,22,1.0,4,26375.0,0,4
"IL, Clay",2,2.5,2.5,2.0,3.0,2.5,2.5,3.5,72.4,85.7,3.0,1.89,0.36,0.74,2.96,87.6665,2,16,6.0,4,75250.0,3,7
"IL, Douglas",4,2.0,3.0,2.25,2.5,2.67,1.5,1.5,58.3,57.1,2.0,1.87,0.68,0.45,3.01,60.3335,14,11,3.0,3,20150.0,0,3
"IL, Franklin",5,3.2,3.6,3.2,2.8,3.4,2.0,2.8,59.45,60.2,0.5,1.62,0.51,0.73,2.76,37.8666,1,14,0.0,0,0.0,1,1
"IL, Jackson",2,1.5,2.5,1.0,1.5,1.0,2.0,2.0,65.25,61.2,0.0,2.34,0.76,0.43,3.54,80.333,0,29,3.0,5,17925.0,0,5
"IL, Hardin",1,3.0,4.0,1.0,2.0,1.0,3.0,4.0,45.5,,1.0,2.13,0.48,0.85,3.43,19.333,0,1,2.0,1,13000.0,0,1
"IL, Crawford",2,4.0,4.0,2.0,2.0,1.5,3.0,3.5,61.0,62.5,0.0,2.06,0.67,0.79,3.52,33.0,1,4,0.0,3,2285.22,0,3
"IL, Carroll",2,4.5,4.0,4.5,4.0,5.0,2.0,3.0,42.6,37.5,2.0,1.91,0.38,0.64,2.91,32.0,1,1,1.0,1,650.0,0,1
"IL, Jasper",1,4.0,4.0,2.0,2.0,3.0,3.0,4.0,,,3.0,1.28,0.16,1.05,2.48,23.333,0,0,0.0,0,0.0,0,0
"IL, Brown",1,4.0,4.0,4.0,5.0,2.0,3.0,3.0,51.3,33.3,2.0,1.91,1.12,0.61,3.58,24.667,1,0,0.0,8,14300.0,0,8
"IL, Pike",3,3.0,3.67,2.0,2.0,1.67,2.0,2.0,54.5,37.5,0.0,2.11,0.96,0.46,3.49,37.5,1,3,0.0,2,13988.0,0,2
"IL, Williamson",5,3.6,3.6,2.8,3.6,1.8,2.6,2.8,60.32,54.02,1.67,1.98,0.72,0.6,3.29,51.8668,2,33,4.0,12,412840.25,2,14
"IL, Johnson",1,5.0,5.0,4.0,4.0,,2.0,3.0,46.4,,0.0,1.45,0.71,0.64,2.69,17.333,0,0,0.0,0,0.0,0,0
